matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/494_bus.mtx,parallel (CSB),64,static,0,0.208
matrix_mkt/494_bus.mtx,parallel (CSB),64,static,1,0.519
matrix_mkt/494_bus.mtx,parallel (CSB),64,static,10,5.651
matrix_mkt/494_bus.mtx,parallel (CSB),64,static,50,5.155
matrix_mkt/494_bus.mtx,parallel (CSB),64,static,100,3.656
matrix_mkt/494_bus.mtx,parallel (CSB),32,static,0,0.106
matrix_mkt/494_bus.mtx,parallel (CSB),32,static,1,0.107
matrix_mkt/494_bus.mtx,parallel (CSB),32,static,10,0.104
matrix_mkt/494_bus.mtx,parallel (CSB),32,static,50,0.103
matrix_mkt/494_bus.mtx,parallel (CSB),32,static,100,0.104
matrix_mkt/494_bus.mtx,parallel (CSB),16,static,0,0.070
matrix_mkt/494_bus.mtx,parallel (CSB),16,static,1,0.060
matrix_mkt/494_bus.mtx,parallel (CSB),16,static,10,0.063
matrix_mkt/494_bus.mtx,parallel (CSB),16,static,50,0.063
matrix_mkt/494_bus.mtx,parallel (CSB),16,static,100,0.061
matrix_mkt/494_bus.mtx,parallel (CSB),4,static,0,0.045
matrix_mkt/494_bus.mtx,parallel (CSB),4,static,1,0.046
matrix_mkt/494_bus.mtx,parallel (CSB),4,static,10,0.049
matrix_mkt/494_bus.mtx,parallel (CSB),4,static,50,0.058
matrix_mkt/494_bus.mtx,parallel (CSB),4,static,100,0.049
matrix_mkt/494_bus.mtx,parallel (CSB),64,dynamic,0,5.146
matrix_mkt/494_bus.mtx,parallel (CSB),64,dynamic,1,2.124
matrix_mkt/494_bus.mtx,parallel (CSB),64,dynamic,10,3.200
matrix_mkt/494_bus.mtx,parallel (CSB),64,dynamic,50,1.643
matrix_mkt/494_bus.mtx,parallel (CSB),64,dynamic,100,0.461
matrix_mkt/494_bus.mtx,parallel (CSB),32,dynamic,0,0.109
matrix_mkt/494_bus.mtx,parallel (CSB),32,dynamic,1,0.105
matrix_mkt/494_bus.mtx,parallel (CSB),32,dynamic,10,0.102
matrix_mkt/494_bus.mtx,parallel (CSB),32,dynamic,50,0.098
matrix_mkt/494_bus.mtx,parallel (CSB),32,dynamic,100,0.102
matrix_mkt/494_bus.mtx,parallel (CSB),16,dynamic,0,0.063
