matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/494_bus.mtx,PAR,16,static,1,0.040
matrix_mkt/494_bus.mtx,PAR,16,static,10,0.025
matrix_mkt/494_bus.mtx,PAR,16,static,50,0.017
matrix_mkt/494_bus.mtx,PAR,16,static,100,0.021
matrix_mkt/494_bus.mtx,PAR,4,static,0,0.015
matrix_mkt/494_bus.mtx,PAR,4,static,1,0.029
matrix_mkt/494_bus.mtx,PAR,4,static,10,0.016
matrix_mkt/494_bus.mtx,PAR,4,static,50,0.013
matrix_mkt/494_bus.mtx,PAR,4,static,100,0.012
matrix_mkt/494_bus.mtx,PAR,64,dynamic,0,1.338
matrix_mkt/494_bus.mtx,PAR,64,dynamic,1,0.119
matrix_mkt/494_bus.mtx,PAR,64,dynamic,10,0.062
matrix_mkt/494_bus.mtx,PAR,64,dynamic,50,0.056
matrix_mkt/494_bus.mtx,PAR,64,dynamic,100,0.056
matrix_mkt/494_bus.mtx,PAR,32,dynamic,0,0.094
matrix_mkt/494_bus.mtx,PAR,32,dynamic,1,0.091
matrix_mkt/494_bus.mtx,PAR,32,dynamic,10,0.036
matrix_mkt/494_bus.mtx,PAR,32,dynamic,50,0.030
matrix_mkt/494_bus.mtx,PAR,32,dynamic,100,0.030
matrix_mkt/494_bus.mtx,PAR,16,dynamic,0,0.096
matrix_mkt/494_bus.mtx,PAR,16,dynamic,1,0.089
matrix_mkt/494_bus.mtx,PAR,16,dynamic,10,0.029
matrix_mkt/494_bus.mtx,PAR,16,dynamic,50,0.021
matrix_mkt/494_bus.mtx,PAR,16,dynamic,100,0.019
matrix_mkt/494_bus.mtx,PAR,4,dynamic,0,0.115
matrix_mkt/494_bus.mtx,PAR,4,dynamic,1,0.108
matrix_mkt/494_bus.mtx,PAR,4,dynamic,10,0.021
matrix_mkt/494_bus.mtx,PAR,4,dynamic,50,0.015
matrix_mkt/494_bus.mtx,PAR,4,dynamic,100,0.013
matrix_mkt/494_bus.mtx,PAR,64,guided,0,0.520
matrix_mkt/494_bus.mtx,PAR,64,guided,1,1.921
matrix_mkt/494_bus.mtx,PAR,64,guided,10,0.084
matrix_mkt/494_bus.mtx,PAR,64,guided,50,0.057
matrix_mkt/494_bus.mtx,PAR,64,guided,100,0.053
matrix_mkt/494_bus.mtx,PAR,32,guided,0,0.072
matrix_mkt/494_bus.mtx,PAR,32,guided,1,0.069
matrix_mkt/494_bus.mtx,PAR,32,guided,10,0.048
matrix_mkt/494_bus.mtx,PAR,32,guided,50,0.034
matrix_mkt/494_bus.mtx,PAR,32,guided,100,0.030
matrix_mkt/494_bus.mtx,PAR,16,guided,0,0.041
